,x,y,z
0,0.0,0.0,0.0
1,0.058868974447250366,-0.07881850004196167,-0.0653195538776572
2,0.06895104050636292,-0.1883305311203003,-0.09996012684280231
3,0.02367064356803894,-0.2688237428665161,-0.13311937537366703
4,-0.047702014446258545,-0.2844759225845337,-0.15358708884889438
5,0.014165252447128296,-0.3117724657058716,-0.022574731077497745
6,0.017206549644470215,-0.3890095353126526,-0.09008693036014392
7,0.0257759690284729,-0.3029109835624695,-0.1186950364368613
8,0.03280508518218994,-0.24137187004089355,-0.11949568327838733
9,-0.038603782653808594,-0.28528153896331787,-0.016778039674704814
10,-0.043252915143966675,-0.3621228337287903,-0.10070271130973651
11,-0.017053723335266113,-0.2684507966041565,-0.12508659150773838
12,-0.0013300180435180664,-0.2245234251022339,-0.11372354712659671
13,-0.08673655986785889,-0.25316232442855835,-0.026096845905726695
14,-0.084482342004776,-0.275806725025177,-0.11291835543090656
15,-0.04077857732772827,-0.1821156144142151,-0.12848663416082218
16,-0.018372327089309692,-0.122894287109375,-0.10598341461593463
17,-0.13209094107151031,-0.22643089294433594,-0.04016544383341625
18,-0.17357149720191956,-0.31559669971466064,-0.0802496754782851
19,-0.20074787735939026,-0.3749493956565857,-0.09114162709886386
20,-0.22694729268550873,-0.4380989670753479,-0.08519772526199176
