,x,y,z
0,0.0,0.0,0.0
1,0.07393670082092285,-0.08430016040802002,-0.02383669305152125
2,0.12573182582855225,-0.2079160213470459,-0.03355662364072032
3,0.16336452960968018,-0.3046940863132477,-0.04879019248789973
4,0.1862298846244812,-0.37964215874671936,-0.0579247160584373
5,0.028896033763885498,-0.3000582754611969,0.001862059673044314
6,0.036311447620391846,-0.39065027236938477,-0.03916233989900775
7,0.049069225788116455,-0.30535587668418884,-0.05844217378205485
8,0.05384707450866699,-0.23441696166992188,-0.05857582974738307
9,-0.019355297088623047,-0.28360119462013245,-0.004433768126432369
10,-0.008573532104492188,-0.3577578365802765,-0.059103889647190044
11,0.01627957820892334,-0.2559721767902374,-0.07931456181711383
12,0.026923179626464844,-0.18231675028800964,-0.07520314517921634
13,-0.06583511829376221,-0.25853124260902405,-0.018453097227279613
14,-0.053794801235198975,-0.30850839614868164,-0.071576254698698
15,-0.0212327241897583,-0.21183565258979797,-0.07698872152275271
16,-0.006200313568115234,-0.14255958795547485,-0.05967455569214053
17,-0.11318162083625793,-0.23195376992225647,-0.034446703526441524
18,-0.15432128310203552,-0.33030420541763306,-0.05866960275477595
19,-0.17241090536117554,-0.3941076993942261,-0.06131003263897128
20,-0.18887150287628174,-0.45579683780670166,-0.05403422776169009
