,x,y,z
0,0.0,0.0,0.0
1,0.059650957584381104,-0.09320950508117676,-0.03820032103601534
2,0.052689433097839355,-0.23135989904403687,-0.05082676781955797
3,0.0182497501373291,-0.32678860425949097,-0.06251114456597406
4,-0.011805981397628784,-0.40532881021499634,-0.0639616012448414
5,-0.00945901870727539,-0.34585872292518616,-0.012906522850130386
6,0.018060028553009033,-0.4051054120063782,-0.0749379977459057
7,0.04493451118469238,-0.32137465476989746,-0.10422953067961771
8,0.046314775943756104,-0.25898584723472595,-0.11296573876086313
9,-0.06551650166511536,-0.3262752592563629,-0.013325121613775082
10,-0.03162944316864014,-0.3474021852016449,-0.07595982252303202
11,0.011623144149780273,-0.24849215149879456,-0.08561522363368113
12,0.026053786277770996,-0.20224440097808838,-0.07570911048594553
13,-0.10616225004196167,-0.27732667326927185,-0.025488818424378223
14,-0.045594990253448486,-0.24368581175804138,-0.08727542160693247
15,-0.0024724602699279785,-0.15363478660583496,-0.08159579931441385
16,0.006719470024108887,-0.12421250343322754,-0.06044766529146273
17,-0.13182160258293152,-0.2149764597415924,-0.04189970194045145
18,-0.06412437558174133,-0.16308635473251343,-0.0785790517801388
19,-0.03463050723075867,-0.10974711179733276,-0.0801947921389683
20,-0.03711691498756409,-0.1064113974571228,-0.07075013070050318
