,x,y,z
0,0.0,0.0,0.0
1,0.056263267993927,-0.05062621831893921,-0.03270752179491865
2,0.0856330394744873,-0.13653934001922607,-0.047683494268540016
3,0.033075809478759766,-0.1668444275856018,-0.05919285687673437
4,-0.0361461341381073,-0.17168593406677246,-0.07419445189702856
5,0.03977411985397339,-0.3075551986694336,-0.03860641467440473
6,0.059894025325775146,-0.4349178969860077,-0.059196567265871636
7,0.07218658924102783,-0.5148644745349884,-0.07319992604720937
8,0.07962310314178467,-0.587864100933075,-0.08349572691190588
9,-0.019506216049194336,-0.30282139778137207,-0.04597459184992658
10,-0.03145161271095276,-0.4388158917427063,-0.06293102177846777
11,-0.04305458068847656,-0.5297729074954987,-0.08326009484994756
12,-0.05431219935417175,-0.6094674170017242,-0.09681244763601171
13,-0.06151902675628662,-0.2598257064819336,-0.055831572143915764
14,-0.0949866771697998,-0.35177868604660034,-0.09222179475295889
15,-0.11815351247787476,-0.4261227250099182,-0.13020895990598547
16,-0.1403045952320099,-0.49429357051849365,-0.15547614368665563
17,-0.08946135640144348,-0.19096052646636963,-0.06654599878061163
18,-0.06933653354644775,-0.1967160701751709,-0.11017635288703787
19,-0.04143708944320679,-0.14113253355026245,-0.12754278454053747
20,-0.021959662437438965,-0.09221231937408447,-0.1360602733777796
