,x,y,z
0,0.0,0.0,0.0
1,0.05154651403427124,-0.06302177906036377,-0.0354841018298373
2,0.06827571988105774,-0.1706475019454956,-0.04586502557785366
3,0.019886285066604614,-0.22209829092025757,-0.05353793522507999
4,-0.029457896947860718,-0.19207853078842163,-0.06178139170796726
5,0.024843424558639526,-0.287242591381073,-0.018909244073341824
6,0.0030294060707092285,-0.38470590114593506,-0.035024557469199635
7,-0.016619890928268433,-0.44522735476493835,-0.053171955255578496
8,-0.035869985818862915,-0.4983169734477997,-0.06887835284859989
9,-0.016782015562057495,-0.2836724519729614,-0.0191114174404845
10,-0.03901952505111694,-0.3892506957054138,-0.03290824612767551
11,-0.057955414056777954,-0.4622783064842224,-0.05353484323413227
12,-0.07652419805526733,-0.5252169966697693,-0.0706461744585738
13,-0.048454850912094116,-0.25749242305755615,-0.02403298599810455
14,-0.06918877363204956,-0.3563641309738159,-0.038430150804828145
15,-0.08409513533115387,-0.4239053726196289,-0.059296038208316304
16,-0.10059091448783875,-0.4799116253852844,-0.07508691420943592
17,-0.07604125142097473,-0.2126283049583435,-0.03309886923224781
18,-0.09237444400787354,-0.2952769994735718,-0.04617109915406559
19,-0.10183222591876984,-0.35106492042541504,-0.05729096776039455
20,-0.11283916234970093,-0.4017876982688904,-0.06712989529759739
